Node name,Degree,Strength,Clustering coefficient,Average path length,Maximum path length,Betweenness,Eigenvector centrality,PageRank
GIL,1,792.0,0,4.23770038695,11,0.0,1.04552865639e-15,0.000317828773307
KYX,2,96.0,0,10.7122719735,16,0.000552944429085,0.00177430981939,4.33616049716e-05
BWD,1,288.0,0,3.95936981758,12,0.0,0.00396218158612,0.000232735915613
SPN,8,15176.0,0.535714285714,3.69900497512,11,0.000357898781836,0.000127576604751,6.74851596322e-05
KYS,2,68.0,1.0,4.64566058596,12,0.0,0.0646365255678,0.00205004653265
BWI,64,298982.0,0.457837301587,3.25317855169,11,0.000639843831471,9.93140880886e-05,5.34438692143e-05
KYP,3,217.0,1.0,4.6130458817,11,0.0,0.000495534019043,6.56511100219e-05
SPD,2,735.0,1.0,4.22388059701,11,0.0,0.00916511610722,0.000306051691414
BWN,19,16408.0,0.491228070175,3.50248756219,10,0.000981667984259,0.000901913771805,4.59903034807e-05
PKG,1,350.0,0,4.00552791598,11,0.0,0.000836392857087,0.000156093736476
IXJ,3,4172.0,1.0,4.11967938087,11,0.0,0.00085141208662,6.81016930571e-05
KCH,12,32375.0,0.393939393939,3.82697622996,10,3.36682428883e-07,0.00112572707699,6.5301533686e-05
GUC,1,651.0,0,4.18518518519,12,1.52916047866e-07,0.00102651980297,8.95912257649e-05
IXL,4,952.0,0.666666666667,4.11940298507,11,0.0,0.000860768018508,6.2296695745e-05
IXM,2,1639.0,1.0,4.1141514649,11,0.0,0.00353576597259,0.000105830309716
IXB,3,2085.0,1.0,4.11083471531,11,7.64580239332e-08,0.000874574875189,9.18150417929e-05
IXC,3,847.0,0.666666666667,4.11967938087,11,0.0,0.000103472798096,0.000108009921998
BYU,2,1250.0,1.0,3.681315644,11,0.0,0.000764511080952,4.28393138688e-05
IXE,2,3318.0,1.0,4.12133775567,11,7.64580239332e-08,1.89382002547e-05,7.19599986275e-05
BYN,3,150.0,0.666666666667,4.62161415146,12,0.0,0.00020576682857,8.21540869587e-05
BYM,1,72.0,0,4.19762299613,12,0.0,0.00010368882222,4.46463226608e-05
IXR,1,1015.0,0,5.10917634052,12,0.0,4.76159483092e-07,8.19208497166e-05
IXS,2,1071.0,1.0,4.38308457711,11,0.0,3.35404705282e-05,4.85601838364e-05
BYC,1,114.0,0,4.85129906025,13,0.0,3.08854603806e-05,0.000141245732133
BYA,2,8.0,1.0,5.89137645108,14,0.0,0.00311636644578,0.000455881310468
MAQ,2,528.0,1.0,3.954671089,11,3.24946601716e-06,1.65377334713e-06,5.78706272235e-05
MAS,3,240.0,0.666666666667,4.73770038695,10,0.00061142547519,0.000118788759106,0.000168764629104
MAR,12,22829.0,0.363636363636,3.99226091763,12,0.0,0.00146566958942,0.00131910032416
MAU,1,184.0,0,5.51409618574,13,0.00110558302607,0.0280044222633,0.0009520068828
MAT,3,168.0,0.333333333333,4.72940851299,12,0.0076700488414,0.000490355872815,4.54981721897e-05
JNU,18,11595.0,0.0392156862745,3.90740740741,12,3.30803740841e-06,0.00066518684051,4.452733004e-05
SNA,20,126491.0,0.915789473684,3.42012161415,11,0.0,0.00153948916363,0.000110859523227
MAY,1,210.0,0,4.34715312327,12,0.0,0.000227099516326,5.13517912308e-05
JNZ,1,316.0,0,4.07573244887,11,0.000552944429085,0.0197442225846,0.00099151534476
JNX,2,550.0,0,4.04201216142,11,3.80469690525e-07,0.0563568503406,0.00498685978358
PQM,4,703.0,0.333333333333,4.82504145937,13,0.00198483072969,8.12098295747e-05,0.000155890769158
MAA,28,60192.0,0.333333333333,3.33112216694,10,0.0385000142403,0.10741950402,0.00527647590016
JNB,84,206233.0,0.126792885829,3.01271420674,10,2.06221673563e-05,3.20728987695e-05,0.000628887408958
MAB,5,2317.0,0.4,4.92288557214,13,0.0104094383567,0.00616916605291,0.000157330662328
MAD,105,511075.0,0.232600732601,3.06329463792,11,0.00111102938598,0.0138075460927,0.00013243463683
MAG,6,1768.0,0.533333333333,4.73438363737,10,6.39832937125e-08,5.05998448006e-06,6.44941660175e-05
MAF,6,17373.0,0.933333333333,3.90105030404,12,2.10423219067e-07,0.000552581956552,0.00112495008615
MAH,7,10931.5,0.952380952381,3.58817025981,11,0.0,0.000964730824882,9.68858530736e-05
MAK,1,50.0,0,5.55389718076,13,0.0132649507456,3.4146841157e-05,0.000123973277398
MAJ,19,1570.0,0.0409356725146,4.10226644555,11,7.64580239332e-08,0.00408673757911,0.000815213649263
MAM,3,2629.0,0.666666666667,4.14234383637,12,0.0,0.0935099102209,0.00152003508573
JNN,3,115.0,1.0,4.91514648977,12,0.00711126482505,9.34728324613e-07,0.000234969285834
MAO,17,21867.0,0.147058823529,3.91487009397,12,0.00266964741035,6.4570145547e-06,0.000108935115263
MAN,75,148923.0,0.344144144144,3.10171365395,11,8.86913077625e-07,0.0161095548516,0.000298485133085
BEJ,3,648.0,0.666666666667,5.90049751244,12,0.0,0.00238313276789,0.00091932127434
BEI,2,90.0,1.0,5.42841348811,13,0.00134932206159,0.000633931789397,8.36572953651e-05
BEN,16,7064.0,0.458333333333,3.66224433389,11,0.00487832111467,0.000431286550727,7.10459355378e-05
BEL,16,25352.0,0.183333333333,3.97153123273,12,7.64580239332e-08,0.000949683073332,6.16981493353e-05
BEB,3,851.0,0.666666666667,4.35876174682,12,1.3762444308e-06,5.00330831517e-06,0.000167695022363
YBR,4,334.0,0.666666666667,4.60724156993,13,0.0,0.0530238138922,0.000314582717636
NYM,3,584.0,0.666666666667,3.87617468214,11,7.64580239332e-08,0.00579562905989,7.36548958684e-05
YBT,3,372.0,0.666666666667,5.60143725815,14,0.000839367029104,2.72195829615e-05,9.47813076261e-05
BEG,33,16134.0,0.63446969697,3.41791044776,11,0.0,4.43684897283e-08,0.000201848420979
BED,4,4950.0,1.0,3.69900497512,12,0.0,0.0572466504255,0.00054860983919
EVG,1,270.0,0,5.07048092869,13,0.000832581424711,0.000883825818786,7.41832119773e-05
YBI,2,228.0,0,6.48618021006,14,0.000262550470264,0.00825002435604,7.47734828278e-05
BEY,43,38421.5,0.550387596899,3.30016583748,11,0.0,0.0957707928207,0.00190358063611
YBL,2,1796.0,1.0,4.03372028745,12,0.00163079954294,0.00504658229071,0.000148267696914
KTW,4,3469.0,1.0,3.67551133223,11,0.0,0.00144196656544,8.40106861363e-05
BER,89,182219.0,0.322522982635,3.33609729132,11,0.00046502945791,0.00238360706586,0.000251327272833
BES,4,10006.5,1.0,3.68490878939,11,0.0014329219135,0.000291878001504,0.0015303165135
YBC,4,874.0,0.666666666667,4.06329463792,12,0.0167874714367,8.97436949711e-08,0.00017658068694
BEW,8,3188.5,0.357142857143,3.92288557214,11,0.000327611826437,0.00100046086564,0.00102607550472
BET,30,4996.0,0.0390804597701,4.19624101714,12,0.0158772487112,0.00207153166438,4.37653915287e-05
BEU,2,76.0,0,6.31564400221,12,0.0,0.00493958980643,8.21621725402e-05
VLI,20,3358.0,0.147368421053,4.07628524046,10,0.0,0.000326492805399,0.000181605275403
VLK,1,100.0,0,3.87700386954,11,0.0,0.000571653115881,0.000254585412021
LSE,4,5430.0,1.0,3.78662244334,12,0.000944786232795,3.03527577945e-05,0.000110674022075
LSC,3,7565.0,1.0,4.49336650083,13,0.000541111596494,0.000104909023677,7.82132926838e-05
LSA,4,95.0,0.5,4.74018794914,10,0.000234911604062,0.000307124265249,4.28319980493e-05
TTS,2,38.0,0,4.58540630182,12,0.0,0.00220792181448,5.10441124728e-05
TTQ,1,63.0,0,4.56246545053,13,0.0,9.76130606584e-05,4.6181204886e-05
VLD,2,1230.0,1.0,3.91459369818,12,0.0,0.000538714083327,0.000285213469094
LSH,2,88.0,1.0,4.6130458817,11,0.00110573594212,0.00133615924249,7.65986529206e-05
TTT,5,19957.0,0.3,4.06550580431,11,0.0,0.000522842651593,0.000259588181987
TTJ,1,4410.0,0,3.79878385849,11,1.52869663486e-05,0.000146890471258,4.51241301485e-05
LST,6,9657.0,0.533333333333,4.20895522388,11,0.0,0.00112710311309,0.000104514632321
LSS,1,208.0,0,4.55306799337,12,0.0,0.000320925901188,4.95854595486e-05
LSP,4,4010.0,1.0,4.21586511885,12,0.0,6.31710493557e-07,0.000125242701054
LSQ,2,460.0,1.0,4.49226091763,13,7.64580239332e-08,0.000295381200189,0.000101555728612
VLS,2,27.0,0,6.07407407407,12,0.0,2.09403397321e-05,6.51005532108e-05
LSY,2,1015.0,1.0,4.23383084577,11,0.0,0.0258830440859,0.000275288676744
GRW,1,452.0,0,5.24571586512,13,1.48989928265e-05,0.00233021091943,6.40169698884e-05
